"","Bio1_F1","Bio1_F2","Bio1_F3","Bio1_F4","Bio1_F5","Bio1_F6","Bio1_F7","Bio1_F8","Bio1_F9","Bio1_F10","Bio1_F11","Bio1_F12","Bio1_F13","Bio1_F14","Bio1_F15","Bio1_F16","Bio1_F17","Bio1_F18","Bio1_F19","Bio1_F20","Bio1_F21","Bio1_F22","Bio1_F23","Bio1_F24","Bio1_F25","Bio1_F26","Bio1_F27","Bio1_F28","Bio1_F29","Bio1_F30","Bio1_F31","Bio1_F32","Bio1_F33","Bio1_F34","Bio1_F35","Bio1_F36","Bio1_F37","Bio1_F38","Bio1_F39","Bio1_F40","Bio1_F41","Bio1_F42","Bio1_F43","Bio1_F44","Bio1_F45","Bio1_F46","Bio1_F47","Bio1_F48","Bio1_F49","Bio1_F50","Bio1_F51","Bio1_F52","Bio1_F53","Bio1_F54","Bio1_F55","Bio1_F56","Bio1_57","Bio1_58","Bio1_59","Bio1_60","Bio1_61","Bio1_62","Bio1_63","Bio1_64","Bio1_65"
"AT5G65430.1;AT5G65430.2;AT5G65430.3",0,0,0,0,131.7,27.742,240.89,0,890.11,260.86,0,0,0,0,1041.7,0,442.4,0,994.4,0,1405.7,0,0,10046,1455,1626,2591.3,0,283.7,1732.7,10110,120090,89714,76028,91632,59255,39467,60849,37143,30200,17374,14634,5579.4,8170.9,7060.1,2152.1,1935.3,3181.6,2759.3,0,1225.5,951.8,2241.2,680.22,1126,384.82,3839.2,1823.1,674.13,996.27,956.09,760.44,1010.2,1034.8,54.088
"AT5G65020.1;AT5G65020.2",35.781,0,0,0,0,1172.9,0,494.49,11733,0,923.3,2685.6,0,389.25,2488.7,13671,55486,204140,10382,1565.8,0,2671.1,5221.7,2375.2,0,18690,3390.3,0,0,0,0,0,0,682.55,0,1909.6,0,1431.5,7372.6,0,0,2746.4,0,856.62,0,419.3,0,0,0,218.31,0,0,161.98,0,36.721,528.07,1279.6,22.471,1166.4,0,194.22,76.856,0,39.325,0
"AT5G65010.1;AT5G65010.2",138.78,18.494,101.43,0,23.118,136.11,0,805.62,0,126.12,164.66,0,0,1687.3,5023,3395.2,4719.9,14518,95425,41076,47836,11818,1682.1,0,0,0,1629.8,0,1540,2346.6,0,0,0,4577.6,13938,1351.1,1555.4,2872.2,3770,18.219,24.36,0,164.29,0,0,0,0,0,665.4,0,0,0,0,0,0,0,678.6,56.071,0,953.95,50.859,14.013,0,0,0
"AT5G64860.1",1134.7,58.509,0,0,1827.6,182.95,1508,0,0,707.88,0,341.54,0,472.06,0,3009.2,0,18990,0,0,0,0,0,0,0,32013,182420,175440,661.66,0,0,1529.2,3889.6,4375.8,5748.9,8912.3,16160,3163.5,3420.1,0,1929.5,1565.1,207.96,789.87,1004.2,265.38,593.94,542.54,426.85,0,18.684,8473.4,4665.9,29.037,4881.9,0,678.17,0,600.53,472.28,338.77,870.78,2780.7,0,0
"AT5G64830.2;AT5G64830.1",0,0,0,0,0,0,0,0,0,0,0,1388.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.4,0,0,0,16865,0,0,0,0,0,0,0,5140.4,0,0,1867.5,0,0,39.135,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT5G64460.8;AT5G64460.6;AT5G64460.4;AT5G64460.3;AT5G64460.2;AT5G64460.1;AT5G64460.7;AT5G64460.5",0,114.36,0,0,0,0,205.53,0,0,0,659.56,42.442,1309.5,0,4528,0,4201.5,12835,13341,44754,10833,48780,207570,11881,0,8564.3,0,0,0,2410.8,0,1634.7,4390,1875,0,0,0,0,1672.9,0,0,0,0,0,22.986,163.61,0,0,296.95,190.15,0,0,452.15,0,0,346.7,374.37,0,0,475.75,0,0,170.21,0,0
"AT5G61940.1",0,0,0,0,0,26.572,0,0,0,14204,0,0,0,0,0,0,0,1937.6,0,0,0,0,0,1398.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,0,0,0,0,0,0,0,0,286.63,0,0,0,0,0,0,0,0,0,0
"AT5G61780.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39730,2798.2,0,0,0,1756.2,0,0,0,0,0,0,0,5040.2,0,0,1479.8,0,2611.7,0,1328.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.01,0
"AT5G61510.1",0,0,0,0,0,0,0,0,3188,17522,17190,72796,787.89,0,0,0,2391,0,0,0,0,0,0,0,1647.4,0,0,1416.2,0,0,0,0,0,7254.4,0,0,0,0,0,0,0,0,1128.2,0,0,0,401.67,0,0,0,0,0,0,0,281.77,0,612.58,137.19,0,0,189.18,0,844.72,0,26.194
"AT5G61500.1",0,0,0,0,0,0,0,0,0,0,9856,0,0,88.131,0,1410.4,0,0,644.35,0,0,0,894.93,0,1639,1517.8,0,0,0,0,0,148.11,0,4073.2,6652.1,1891.9,759.6,0,50.747,0,0,0,0,0,0,0,0,0,461.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
