"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT1G01050.1", 698.7,,,, 1,1, 35,,,, 35,,,, 17630,,,, 0.7101,,,, 22190,,,
"AT1G01080.1;AT1G01080.2", 816.1,810.1,984.3,972.9, 2,1, 3,7,,, 3,,,, 2.441e+05,,,, 0.71,,,, 3.0718e+05,,,
"AT1G01800.1;AT1G01800.2", 762.6,753.2,763.7,774.6, 2,1, 31,37,,, 30.6,,,, 1.1281e+05,,,, 1.1901,,,, 2.3798e+05,,,
"AT1G02500.2;AT1G02500.1", 823.9,762.1,915.3,897.1, 2,2, 3,26,,, 3,25.9,,, 1.0787e+05,48555,,, 0.71,1.2533,,, 1.3574e+05,1.0786e+05,,
"AT1G02560.1", 873.2,881.2,890.2,898.1, 1,1, 14,,,, 14,,,, 2.5504e+05,,,, 0.71,,,, 3.2095e+05,,,
"AT1G02920.1", 820.9,832.7,840.8,, 1,1, 32,,,, 32.1,,,, 1.6097e+05,,,, 1.1718,,,, 3.3431e+05,,,
"AT1G02930.2;AT1G02930.1", 758.3,762.7,767.1,774.4, 1,1, 32,,,, 31.9,,,, 1.157e+05,,,, 1.4813,,,, 3.0378e+05,,,
"AT1G03090.2;AT1G03090.1", 444.3,,,, 1,1, 8,,,, 7.71,,,, 2863.7,,,, 0.85516,,,, 4340.6,,,
"AT1G03220.1;AT1G03230.1", 703.6,800,723.1,, 1,1, 29,,,, 28.8,,,, 46248,,,, 2.1342,,,, 1.7495e+05,,,
"AT1G03475.1;AT4G03205.1;AT4G03205.2", 920.9,922.7,938.7,947.5, 1,1, 22,,,, 22.7,,,, 4.2752e+05,,,, 1.5861,,,, 1.2019e+06,,,
