"","Bio2_F1","Bio2_F2","Bio2_F3","Bio2_F4","Bio2_F5","Bio2_F6","Bio2_F7","Bio2_F8","Bio2_F9","Bio2_F10","Bio2_F11","Bio2_F12","Bio2_F13","Bio2_F14","Bio2_F15","Bio2_F16","Bio2_F17","Bio2_F18","Bio2_F19","Bio2_F20","Bio2_F21","Bio2_F22","Bio2_F23","Bio2_F24","Bio2_F25","Bio2_F26","Bio2_F27","Bio2_F28","Bio2_F29","Bio2_F30","Bio2_F31","Bio2_F32","Bio2_F33","Bio2_F34","Bio2_F35","Bio2_F36","Bio2_F37","Bio2_F38","Bio2_F39","Bio2_F40","Bio2_F41","Bio2_F42","Bio2_F43","Bio2_F44","Bio2_F45","Bio2_F46","Bio2_F47","Bio2_F48","Bio2_F49","Bio2_F50","Bio2_F51","Bio2_F52","Bio2_F53","Bio2_F54","Bio2_F55","Bio2_F56","Bio2_F57","Bio2_F58","Bio2_F59","Bio2_F60","Bio2_F61","Bio2_F62","Bio2_F63","Bio2_F64","Bio2_F65"
"AT5G65430.1;AT5G65430.2;AT5G65430.3",0,31.732,0,0,38.839,54.347,0,0,0,0,0,0,2248.9,0,5043.8,0,3995.2,1329.3,6337.2,0,5121,0,0,0,5378.5,3535,6005.3,2682.6,1793.6,0,0,43433,147780,73072,59880,57118,57282,54640,31024,28886,16068,19245,11326,5184.8,6558.9,6709.8,2471.8,2114.2,1310,5357,573.01,204.96,2410.4,1921.6,0,1176.3,1240.3,912.5,379.65,0,412.48,410.54,174.33,0,0
"AT5G65020.1;AT5G65020.2",0,0,59.635,60.762,60.069,0,490.38,0,2748.5,0,1537.4,4507.6,3437.8,10278,0,2528.9,36469,779360,17638,0,1547.8,0,15279,0,6702.1,2018.6,7303,0,0,0,0,0,1408.2,0,1586.3,0,1733.7,0,2200.2,0,15.781,0,0,0,3299.6,0,0,18.494,0,0,0,99.88,0,0,89.6,0,56.589,0,155.38,0,33.757,0,59.542,0,0
"AT5G65010.1;AT5G65010.2",409.83,37.432,55.908,63.126,50.935,0,647.56,0,0,0,0,963.34,0,1250.1,0,0,984.42,68302,98896,108600,92111,11188,0,8365.1,1976.6,130.61,0,1593.9,0,935.17,23.118,0,2906.6,0,2994.5,8227,7133.6,1686.2,5138.1,324.9,4520.7,1264,19.092,20.759,731.46,2671,0,757.51,956.74,0,963.06,0,0,907.13,22.894,203.91,0,0,184.95,0,0,246.47,23.355,0,23.118
"AT5G64860.1",0,18.863,60.916,0,27.742,75.796,216.75,0,1458.7,0,0,0,492.46,0,0,0,0,0,0,0,0,6034.4,0,4440.1,2920,8747.4,227320,270270,137320,0,0,0,1187.2,14052,7106.2,5708,2037.2,2272.3,0,1106.2,18.494,1196.2,0,257.97,717.6,577.11,555.84,38.839,0,538.55,0,0,0,0,0,0,2206.9,24.687,0,1602.4,23.579,0,0,0,0
"AT5G64830.2;AT5G64830.1",0,324.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1376.9,0,0,0,0,0,0,0,0,0,0,0,0,0,34983,61284,0,0,0,0,0,0,0,0,0,2116.6,0,274.86,0,0,0,0,0,0,0,0,0,0,46.289,0,0
"AT5G64460.8;AT5G64460.6;AT5G64460.4;AT5G64460.3;AT5G64460.2;AT5G64460.1;AT5G64460.7;AT5G64460.5",0,0,0,0,26.595,0,0,326.57,0,0,0,1368.8,5176.3,2849.6,0,0,0,7248.3,6088.8,39579,15670,11161,244240,13664,0,0,23.579,0,2679.5,0,1187.2,0,4320.4,0,0,0,0,0,0,0,1030.4,885.39,0,26.595,0,0,0,0,0,60.069,0,0,0,0,0,0,609.11,0,0,0,0,0,0,0,101.06
"AT5G61940.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1703.1,0,0,0,0,0,0,0,0,0,2855.1,0,13964,0,0,918.38,0,0,0,1980.2,0,0,0,0,0,0,0,0,0,0,0,3514,0,0,0,0,0,0,1173.1,0,0,0,0,0,52.605,0,0,36.819,0,0,31.563,36.823
"AT5G61780.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374.6,0,0,0,0,0,0,0,0,0,0,0,5088.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547.79,0,0,0,329.48,0,0,0,0,0,39.658,0,0,0
"AT5G61510.1",0,0,0,0,0,0,0,0,1717.3,8727.6,10747,49545,11816,6799.7,0,0,0,0,1969.3,1795,0,52.503,0,0,0,0,0,0,0,0,0,1458.4,1698,0,0,9412.7,0,0,316.67,0,143.61,0,0,0,0,0,0,0,0,543.52,0,0,0,0,0,0,0,0,0,0,0,0,112.41,0,0
"AT5G61500.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12163,0,3119.9,0,633.61,0,0,0,0,23.546,0,0,0,0,0,0,0,0,0,0,0,0,0,33.411,0,638.5,0,0,0,0,0
