Protein IDs,Bio1_proteinGroups_F28,Bio1_proteinGroups_F29,Bio1_proteinGroups_F30,Bio1_proteinGroups_F31,Bio1_proteinGroups_F32,Bio1_proteinGroups_F33,Bio1_proteinGroups_F34,Bio1_proteinGroups_F35,Bio1_proteinGroups_F36,Bio1_proteinGroups_F37,Bio1_proteinGroups_F38,Bio1_proteinGroups_F39,Bio1_proteinGroups_F40,Bio1_proteinGroups_F41,Bio1_proteinGroups_F42,Bio1_proteinGroups_F43,Bio1_proteinGroups_F44,Bio1_proteinGroups_F45,Bio1_proteinGroups_F46,Bio1_proteinGroups_F47,Bio1_proteinGroups_F48,Bio1_proteinGroups_F49,Bio1_proteinGroups_F50,Bio1_proteinGroups_F51,Bio1_proteinGroups_F52,Bio1_proteinGroups_F53,Bio1_proteinGroups_F54,Bio1_proteinGroups_F55,Bio1_proteinGroups_F56,Bio1_proteinGroups_F57,Bio1_proteinGroups_F58,Bio1_proteinGroups_F59,Bio1_proteinGroups_F60,Bio1_proteinGroups_F61,Bio1_proteinGroups_F62,Bio1_proteinGroups_F63,Bio1_proteinGroups_F64,Bio1_proteinGroups_F65
AT5G11200.1;AT5G11170.1;AT5G11200.3;AT5G11200.2;AT5G11170.2,0,0,0,0,0,0,47.871,0,0,0,0,4502.2,2717.4,0,0,511.96,0,0,0,847.64,0,4460.3,0,94687,121150,100500,39293,0,4461.5,0,0,3064.2,8130.4,0,0,0,0,0
AT3G03710.1;AT2G47220.1,170.82,0,0,0,0,0,17481,33641,2885.3,19173,26035,14422,6311.5,7149.8,0,0,0,0,0,5293.9,0,0,0,7205.5,0,0,5846.9,0,0,0,255.46,1183.4,0,0,0,0,0,3219.4
AT4G26690.1,0,0,0,0,0,0,0,0,0,0,0,0,7693.5,24187,19581,10219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT3G61540.1,0,0,0,0,0,0,0,0,4536.7,0,0,0,16375,35602,11086,0,0,0,0,0,0,0,0,0,2164.6,0,5595.5,0,0,0,0,0,0,0,0,0,0,0
AT1G16350.1;AT1G79470.1,0,570.62,0,0,0,0,2548.3,2095.6,0,0,0,0,1863.9,38900,31174,19359,3752.1,0,0,3994.8,0,0,0,0,0,0,2540.4,0,0,0,0,0,0,0,0,0,0,0
AT4G09320.1,416.61,0,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0,0,0,639.6,26993,175680,316870,420630,274940,134860,34400,109.97,88.401,3960.4,0,0,0,0,205.22,2166.9,36.4,0,0
AT1G70820.1,0,0,0,0,99.732,22.914,0,372.33,0,0,0,0,1442.6,0,3405.9,3127.7,0,0,783.36,40.099,2504.5,17171,37778,185170,232360,213580,115230,49017,11509,891.57,0,0,0,0,0,0,2742.9,2596.7
AT4G37000.1,0,0,0,0,0,6321.4,6713.2,4778.9,0,1695.6,0,0,0,3108.9,0,0,0,3690.8,0,9003.4,0,5139,85882,277880,312450,242530,68106,21118,0,0,0,6964.5,0,0,3878.2,0,5175.7,1444.4
AT3G05625.1,0,0,0,60.699,0,0,0,0,864.51,0,0,0,0,0,0,0,0,0,0,0,1159.6,0,0,0,0,0,0,0,0,0,0,0,5980.3,10228,7992.8,4623.9,0,0
AT3G02730.1,0,0,239.9,3647.9,0,0,0,0,0,1571.7,2590.9,3619,3008.7,0,0,0,0,0,1731.2,1608,0,0,0,523.42,0,1396,0,2029.1,3142.9,0,0,12704,78712,178530,244710,246350,316960,421590
AT3G26060.1;AT3G26060.2,0,0,379.73,3472.9,591.76,194.2,5830.4,0,4673,4294.5,0,3982.7,3468.8,0,9581,4835.1,1789.9,721.23,0,896.54,3886,0,26826,30995,20392,0,2743.3,0,137.32,911.44,820.2,2788.1,13052,3453.9,53285,253850,731890,1962800
