"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT5G65430.1;AT5G65430.2;AT5G65430.3", 1423,1351,1433,1361, 2,2, 33,37,,, 33.1,37.1,,, 97438,49504,,, 1.3799,4.2419,,, 2.3831e+05,3.722e+05,,
"AT5G65020.1;AT5G65020.2", 1439,1451,1463,1475, 1,1, 18,,,, 18,,,, 7.5836e+05,,,, 0.71,,,, 9.5435e+05,,,
"AT5G65010.1;AT5G65010.2", 1304,1301,1429,1386, 2,1, 20,24,,, 19.7,,,, 1.194e+05,,,, 1.8874,,,, 3.9944e+05,,,
"AT5G64860.1", 1358,1348,1360,1377, 2,1, 28,34,,, 27.8,,,, 2.965e+05,,,, 1.2808,,,, 6.731e+05,,,
"AT5G64830.2;AT5G64830.1", 1127,957.7,,, 2,1, 40,50,,, 39.6,,,, 79081,,,, 0.71,,,, 99519,,,
"AT5G64460.8;AT5G64460.6;AT5G64460.4;AT5G64460.3;AT5G64460.2;AT5G64460.1;AT5G64460.7;AT5G64460.5", 1340,1423,1372,1375, 1,1, 23,,,, 23,,,, 2.3864e+05,,,, 0.71,,,, 3.0032e+05,,,
"AT5G61940.1", 1058,1045,1046,, 2,2, 26,45,,, 26,45,,, 13446,3385.6,,, 0.71,0.71,,, 16921,4260.6,,
"AT5G61510.1", 1175,1156,1165,1177, 2,1, 12,36,,, 12,,,, 49420,,,, 0.83245,,,, 72918,,,
"AT5G61150.2;AT5G61150.1", 1001,986.7,973,969.5, 4,4, 13,20,29,40, 13,20,28.6,40, 1799.4,5324.3,2587.6,1192.4, 0.71,0.71,0.71001,0.71, 2264.5,6700.4,3256.5,1500.6
"AT5G61130.1", 1038,935.6,948,, 2,2, 8,14,,, 7.95,14.4,,, 12850,5309.5,,, 0.71,0.71,,, 16171,6681.7,,
"AT5G61060.1;AT5G61060.2;AT5G61050.1", 1295,1217,1203,1260, 3,3, 11,24,37,, 11.1,24,37.4,, 31412,10787,57834,, 0.71,0.71,0.8036,, 39530,13574,82376,
"AT5G60980.1;AT5G60980.2", 1200,1201,1212,1224, 1,1, 35,,,, 35.9,,,, 39476,,,, 1.6975,,,, 1.1877e+05,,,
"AT5G60670.1;AT3G53430.1;AT2G37190.1", 932.7,640.6,,, 2,2, 54,65,,, 53.6,65,,, 2606.7,2736.1,,, 0.71,0.73486,,, 3280.4,2965.2,,
"AT5G60540.1", 926.4,,,, 1,1, 16,,,, 15.8,,,, 10659,,,, 0.75464,,,, 14257,,,
"AT5G64430.1", 1019,982,,, 2,2, 21,34,,, 20.5,34,,, 8315.5,2827.3,,, 0.72875,0.71,,, 10741,3557.9,,
"AT5G64380.1", 1288,1158,1322,1176, 2,2, 22,26,,, 21.6,25.9,,, 51191,23194,,, 0.99177,1.5686,,, 89986,64486,,
"AT5G64270.1", 1137,1147,,, 1,1, 18,,,, 18,,,, 47457,,,, 0.71,,,, 59722,,,
"AT5G64250.2;AT5G64250.1", 1216,1221,1234,1419, 1,1, 23,,,, 23.1,,,, 1.9619e+05,,,, 0.71,,,, 2.4689e+05,,,
"AT5G64160.1", 955,903.3,,, 2,2, 36,43,,, 36,42.8,,, 2053.5,7847.1,,, 0.71,0.71,,, 2584.3,9875.1,,
"AT5G64140.1", 982.9,,,, 1,1, 22,,,, 22,,,, 17402,,,, 0.71001,,,, 21900,,,
"AT5G64130.1;AT5G64130.3", 1218,1220,1224,1220, 1,1, 15,,,, 14.3,,,, 29295,,,, 1.6306,,,, 84670,,,
"AT5G64050.1", 1392,1266,1250,1299, 3,1, 20,29,39,, 20.5,,,, 4.4617e+05,,,, 1.0265,,,, 8.1175e+05,,,
"AT5G63890.1;AT5G63890.2", 1458,1384,1394,1480, 2,1, 15,26,,, 15.4,,,, 9.2075e+05,,,, 0.71,,,, 1.1587e+06,,,
"AT5G63860.1", 1273,1278,1436,1478, 1,1, 25,,,, 25.3,,,, 2.2097e+05,,,, 1.1087,,,, 4.3425e+05,,,
"AT5G63840.1", 1186,1183,1173,1179, 3,1, 18,32,42,, 41.8,,,, 1.4462e+05,,,, 1.1703,,,, 2.9998e+05,,,
"AT5G63680.1", 1191,1182,1159,1119, 4,4, 11,15,21,34, 11,14.8,21.4,33.5, 9446.2,13052,8177.6,9171.5, 0.71,0.71,1.0649,0.71, 11888,16426,15436,11542
"AT5G63620.2;AT5G63620.1", 816.3,,,, 1,1, 13,,,, 13.4,,,, 3420.5,,,, 1.0165,,,, 6162.4,,,
"AT5G63400.1;AT5G63400.2", 1168,1127,1116,1109, 4,1, 8,13,20,33, 8.29,,,, 58064,,,, 0.71,,,, 73070,,,
"AT5G62930.1", 1083,1023,,, 2,2, 12,23,,, 12.1,22.8,,, 5921.9,14622,,, 0.71,0.71,,, 7452.3,18400,,
"AT5G62790.1;AT5G62790.2", 1562,1565,1582,1595, 1,1, 18,,,, 17.7,,,, 1.0759e+06,,,, 1.2273,,,, 2.3404e+06,,,
"AT5G62530.1", 1261,1267,1276,1287, 1,1, 22,,,, 21.9,,,, 3.2283e+05,,,, 1.0817,,,, 6.1892e+05,,,
"AT5G62300.2;AT5G62300.1;AT3G45030.1;AT3G47370.3;AT3G47370.2;AT3G47370.1", 1316,1376,1340,1352, 1,1, 24,,,, 24,,,, 1.2217e+05,,,, 0.71001,,,, 1.5375e+05,,,
"AT5G60390.3;AT5G60390.1;AT1G07940.2;AT1G07940.1;AT1G07930.1;AT1G07920.1;AT1G07930.2;AT5G60390.2", 1658,1617,1606,1614, 3,2, 21,38,42,, 20.1,29.9,,, 7.3026e+05,1.8316e+05,,, 1.6254,5,,, 2.1038e+06,1.6232e+06,,
"AT5G60160.1", 1367,1389,1342,1340, 4,1, 14,21,26,35, 21.3,,,, 3.4968e+05,,,, 0.85524,,,, 5.3006e+05,,,
"AT5G59890.2;AT5G59890.1", 1102,1055,1047,1048, 3,2, 9,31,40,, 9.01,31,,, 29046,6444.8,,, 0.71,0.71,,, 36553,8110.4,,
"AT5G59880.1;AT5G59880.2", 1424,1377,1390,1402, 2,1, 10,19,,, 9.65,,,, 7.2739e+05,,,, 0.81406,,,, 1.0495e+06,,,
"AT5G59850.1;AT1G07770.2;AT1G07770.1", 1372,1374,1429,1423, 1,1, 37,,,, 37.3,,,, 3.7853e+05,,,, 0.99106,,,, 6.6493e+05,,,
"AT5G59750.1;AT5G59750.2", 1094,1099,1106,1113, 1,1, 26,,,, 26.7,,,, 5652.5,,,, 3.3146,,,, 33208,,,
"AT5G59420.1;AT5G02100.1;AT3G09300.1", 975.4,,,, 1,1, 29,,,, 29,,,, 7807.3,,,, 0.71,,,, 9825,,,
"AT5G59290.1;AT5G59290.2", 1141,1297,1231,1230, 1,1, 13,,,, 13.7,,,, 23190,,,, 1.9568,,,, 80433,,,
"AT5G59160.3;AT5G59160.2;AT5G59160.1;AT3G46820.1;AT2G39840.1", 781.3,,,, 1,1, 45,,,, 45.3,,,, 2460.5,,,, 0.90153,,,, 3931.7,,,
"AT5G58770.1", 1212,1188,1165,1176, 3,1, 11,28,35,, 27.6,,,, 76409,,,, 1.2923,,,, 1.7502e+05,,,
"AT5G58590.1", 1098,,,, 1,1, 27,,,, 27.2,,,, 64960,,,, 0.79248,,,, 91245,,,
"AT5G58490.1", 1206,1195,1196,1209, 2,1, 10,22,,, 22.3,,,, 62744,,,, 0.77639,,,, 86342,,,
"AT5G58330.2;AT5G58330.1;AT5G58330.3", 1685,1890,1801,1763, 1,1, 22,,,, 22.2,,,, 2.2024e+06,,,, 0.80287,,,, 3.1341e+06,,,
"AT5G58290.1", 1097,1105,1229,1206, 1,1, 37,,,, 36.3,,,, 12619,,,, 1.9484,,,, 43578,,,
"AT5G58230.1", 1118,1084,1442,1430, 2,1, 15,42,,, 41.8,,,, 79038,,,, 0.87431,,,, 1.2248e+05,,,
"AT5G58220.3;AT5G58220.2", 746.5,,,, 1,1, 21,,,, 20.9,,,, 3449.9,,,, 0.71,,,, 4341.5,,,
"AT5G58220.1", 994.6,995.8,,, 1,1, 21,,,, 20.9,,,, 16624,,,, 0.71,,,, 20921,,,
"AT5G58200.2;AT5G58200.1", 1065,1077,,, 1,1, 15,,,, 14,,,, 7886.3,,,, 2.0182,,,, 28211,,,
"AT5G58090.1", 1188,985.1,997.3,, 2,2, 10,15,,, 9.66,15,,, 20571,15754,,, 0.72329,0.71,,, 26372,19825,,
"AT5G58070.1", 1098,1061,1055,1057, 3,3, 11,29,36,, 10.7,28.7,35.5,, 13562,5961.7,3271.5,, 1.3015,0.75085,0.71004,, 31285,7934.1,4117.2,
"AT5G58040.1", 914.9,,,, 1,1, 19,,,, 19,,,, 2010.9,,,, 0.71,,,, 2530.6,,,
"AT5G57440.1", 1141,1027,1035,, 2,1, 15,24,,, 14.7,,,, 83248,,,, 0.71,,,, 1.0476e+05,,,
"AT5G57330.1", 1238,1246,1250,1260, 1,1, 12,,,, 12.1,,,, 44508,,,, 2.72,,,, 2.1457e+05,,,
"AT5G57170.1;AT5G57170.2", 1089,1079,,, 2,1, 9,15,,, 15,,,, 52140,,,, 0.71,,,, 65616,,,
"AT5G57040.1", 1351,1359,1367,1379, 1,1, 19,,,, 19.1,,,, 2.611e+05,,,, 1.2256,,,, 5.6717e+05,,,
"AT5G57020.1", 1307,1331,1354,, 1,1, 21,,,, 21,,,, 55426,,,, 0.71003,,,, 69753,,,
"AT5G56950.1", 1019,998.1,1007,, 2,2, 41,53,,, 41,53.8,,, 2692,6452.5,,, 0.71,1.5145,,, 3387.8,17321,,
"AT5G56740.1", 1090,1094,,, 1,1, 20,,,, 19.8,,,, 16946,,,, 1.0895,,,, 32725,,,
"AT5G56680.1", 1390,1053,1051,1046, 4,1, 8,23,28,35, 22.5,,,, 4.4484e+05,,,, 0.7343,,,, 5.7897e+05,,,
