"ProtID","BIC1","BIC2","BIC3","BIC4","NumPeakLowBIC","NumPeakDelLowIntensity","Start1","Start2","Start3","Start3","Frac1","Frac2","Frac3","Frac4","Height1","Height2","Height3","Height4","Width1","Width2","Width3","Width4","Area1","Area2","Area3","Area4"
"AT5G11200.1;AT5G11170.1;AT5G11200.3;AT5G11200.2;AT5G11170.2", 772.7,775.7,785.4,819.3, 1,1, 25,,,, 25.2,,,, 1.2115e+05,,,, 1.6755,,,, 3.5978e+05,,,
"AT3G03710.1;AT2G47220.1", 763.6,773.2,785.3,765.2, 1,1, 8,,,, 9.68,,,, 21312,,,, 3.5571,,,, 1.3435e+05,,,
"AT4G26690.1", 614.2,,,, 1,1, 14,,,, 14.5,,,, 24187,,,, 1.4612,,,, 62643,,,
"AT3G61540.1", 659.9,642.7,,, 2,1, 14,27,,, 13.9,,,, 36055,,,, 1.0061,,,, 64296,,,
"AT1G16350.1;AT1G79470.1", 706.8,714.6,723.2,, 1,1, 14,,,, 14.6,,,, 38900,,,, 1.393,,,, 96046,,,
"AT4G09320.1", 784.6,795.1,805.9,816.8, 1,1, 23,,,, 22.9,,,, 4.0705e+05,,,, 1.9376,,,, 1.3979e+06,,,
"AT1G70820.1", 791.6,795.6,806.1,817.1, 1,1, 25,,,, 25.3,,,, 2.3236e+05,,,, 2.0572,,,, 8.4724e+05,,,
"AT4G37000.1", 810.1,807.3,817.3,826.3, 2,1, 20,25,,, 24.9,,,, 3.3598e+05,,,, 1.7266,,,, 1.0282e+06,,,
"AT3G05625.1", 577,579.1,,, 1,1, 34,,,, 34.3,,,, 10228,,,, 1.6405,,,, 29736,,,
"AT3G02730.1", 852.3,863.2,874,884.9, 1,1, 38,,,, 38,,,, 3.7543e+05,,,, 4.0463,,,, 1.533e+06,,,
"AT3G26060.1;AT3G26060.2", 916.2,925.5,927.7,938.5, 1,1, 38,,,, 38,,,, 1.9466e+06,,,, 1.0496,,,, 2.7152e+06,,,
"AT2G36160.1", 875.1,885.9,896.7,907.6, 1,1, 4,,,, 4.01,,,, 3.8292e+05,,,, 0.71,,,, 4.8188e+05,,,
"AT5G20280.1", 636.4,,,, 1,1, 7,,,, 6.62,,,, 6741.8,,,, 0.96403,,,, 11520,,,
"AT2G37690.1", 580.6,,,, 1,1, 7,,,, 6.79,,,, 13036,,,, 0.75744,,,, 17501,,,
"AT5G56500.2;AT5G56500.1", 577.9,,,, 1,1, 7,,,, 6.66,,,, 13780,,,, 0.91522,,,, 22354,,,
"AT2G18110.1", 594.3,,,, 1,1, 7,,,, 7.22,,,, 28317,,,, 0.76283,,,, 38287,,,
"AT5G20990.1", 639.2,561.7,,, 2,1, 7,14,,, 6.61,,,, 34220,,,, 0.71,,,, 43063,,,
"AT4G02510.1", 660.3,,,, 1,1, 7,,,, 7.23,,,, 25010,,,, 1.0906,,,, 48343,,,
"AT5G66140.1", 645.2,,,, 1,1, 7,,,, 6.76,,,, 44395,,,, 0.79622,,,, 62653,,,
"AT5G06390.1", 649,,,, 1,1, 7,,,, 7.09,,,, 60569,,,, 0.71,,,, 76223,,,
"AT1G62020.1", 687.7,607.4,,, 2,1, 7,38,,, 6.54,,,, 55261,,,, 0.72083,,,, 70604,,,
"AT2G40300.1", 714.1,715.3,,, 1,1, 7,,,, 7.53,,,, 51451,,,, 1.1818,,,, 1.0777e+05,,,
"AT3G22630.1", 737.2,,,, 1,1, 7,,,, 6.53,,,, 71608,,,, 1.0308,,,, 1.3083e+05,,,
"AT1G36160.2;AT1G36160.1;AT1G36180.1;AT1G36180.2", 698.6,704.9,709.2,710.2, 1,1, 7,,,, 7.04,,,, 94176,,,, 0.71,,,, 1.1851e+05,,,
"AT1G53850.2;AT1G53850.1", 714.5,,,, 1,1, 7,,,, 6.74,,,, 1.0526e+05,,,, 0.81816,,,, 1.5264e+05,,,
"AT3G53180.1", 682.7,673.7,677.8,, 2,1, 7,33,,, 7.16,,,, 1.345e+05,,,, 0.81401,,,, 1.9406e+05,,,
"AT2G33210.2;AT2G33210.1", 742.9,656.6,588,, 3,1, 7,23,29,, 6.62,,,, 1.6948e+05,,,, 0.74616,,,, 2.2414e+05,,,
